,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
2906,2023,Jul,Wed,2023-07-05,100,Queens south,QUEENS,Felony,Anti-jewish,Religion
2907,2023,Jun,Thu,2023-06-01,112,Queens north,QUEENS,Felony,Anti-jewish,Religion
2908,2023,Aug,Tue,2023-08-01,122,Staten island,RICHMOND,Misdemeanor,Anti-black,Race/Color
2909,2023,Dec,Thu,2023-12-21,123,Staten island,RICHMOND,Felony,Anti-jewish,Religion
2910,2023,Apr,Mon,2023-05-01,107,Queens south,QUEENS,Felony,Anti-jewish,Religion
2911,2023,Oct,Thu,2023-10-12,107,Queens south,QUEENS,Felony,Anti-jewish,Religion
2912,2023,Dec,Tue,2023-12-12,107,Queens south,QUEENS,Felony,Anti-jewish,Religion
2913,2023,Dec,Fri,2023-12-15,107,Queens south,QUEENS,Felony,Anti-jewish,Religion
2914,2023,Dec,Fri,2023-12-15,114,Queens north,QUEENS,Felony,Anti-jewish,Religion
2915,2023,Jun,Fri,2023-06-30,115,Queens north,QUEENS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2916,2023,Feb,Thu,2023-02-09,122,Staten island,RICHMOND,Felony,Anti-jewish,Religion
2917,2024,Apr,Fri,2024-04-26,1,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2918,2024,May,Tue,2024-07-23,5,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
2919,2024,Apr,Thu,2024-04-04,6,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2920,2024,Mar,Tue,2024-03-19,7,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
2921,2024,May,Wed,2024-05-15,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2922,2024,Mar,Sun,2024-03-17,24,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
2923,2024,May,Tue,2024-05-07,48,Bronx,BRONX,Misdemeanor,Anti-catholic,Religion
2924,2024,Sep,Thu,2024-09-26,62,Brooklyn south,KINGS,Felony,Anti-transgender,Gender
2925,2024,Apr,Thu,2024-04-04,68,Brooklyn south,KINGS,Misdemeanor,Anti-catholic,Religion
2926,2023,Mar,Fri,2023-03-17,34,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2927,2023,Oct,Sun,2023-10-08,70,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2928,2023,Mar,Mon,2023-03-13,84,Brooklyn north,KINGS,Misdemeanor,Anti-white,Race/Color
2929,2023,Jan,Sun,2023-01-08,107,Queens south,QUEENS,Misdemeanor,Anti-catholic,Religion
